Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Aug,61.4375,-16.19354839,-20.74193548,-40.83870968,-42.35483871,11.32258065,181,Hounslow,2055
Sep,64.1,-10.5,-18.73333333,-33.36666667,-36.2,9.966666667,471,Hounslow,2222
Oct,17.58064516,-10.93548387,-24,-36.09677419,-33.19354839,11.5483871,1732,Hounslow,2106
Nov,22.7,-10.1,-38.9,-43.46666667,-38.96666667,14.83333333,2103,Hounslow,1958
Dec,15.35483871,-8.903225806,-34.51612903,-48.09677419,-42.64516129,15.93548387,6943,Hounslow,1650
Mar,-10.22580645,-6.612903226,-41.67741935,-39.22580645,-36.48387097,15.66666667,213,Islington,2001
Apr,-11.06666667,-37.83333333,-86.3,-84.76666667,-78.23333333,35.10714286,243,Islington,1483
May,55.74193548,-27.48387097,-83.96774194,-78.80645161,-69.70967742,29.03225806,66,Islington,1737
Jun,79.83333333,-21.5,-78.26666667,-70.8,-61.03333333,25.76666667,26,Islington,1929
Jul,69.90322581,-24.06451613,-65.16129032,-62.19354839,-55,19.83870968,42,Islington,2248
Aug,63.25,-29.22580645,-53.61290323,-56.19354839,-54.13793103,15.03225806,78,Islington,2388
Sep,49.7,-23.06666667,-50.13333333,-52.63333333,-51.34482759,15.03333333,350,Islington,2366
Oct,10.70967742,-21.70967742,-53.67741935,-54.93548387,-47,17.12903226,1241,Islington,2221
Nov,24,-18.66666667,-69.33333333,-64.76666667,-53.86666667,22.23333333,1403,Islington,1990
Dec,7.258064516,-22.41935484,-68.96774194,-66.09677419,-54.87096774,22.12903226,5293,Islington,1831
Mar,-11.09677419,-5.806451613,-43.03225806,-41.41935484,-32.90322581,13.5,232,Kensington and Chelsea,1475
Apr,-28.3,-40.53333333,-88.4,-83.93333333,-75.93333333,33.05882353,253,Kensington and Chelsea,895
May,12.06451613,-27.64516129,-84.5483871,-78.48387097,-68.12903226,29.78947368,45,Kensington and Chelsea,1091
Jun,15.8,-16.33333333,-77.06666667,-69.7,-58.3,25.5,26,Kensington and Chelsea,1268
Jul,17.4516129,-16.48387097,-65.61290323,-63.96774194,-50.25806452,18,33,Kensington and Chelsea,1663
Aug,10.75,-21.51724138,-54,-60.51612903,-52.40740741,14.84615385,111,Kensington and Chelsea,1573
Sep,10,-13.03448276,-46.7,-54.53333333,-49.10714286,12.92592593,220,Kensington and Chelsea,1700
Oct,-16.22580645,-13.32258065,-47.61290323,-55.67741935,-43.38709677,13.87096774,886,Kensington and Chelsea,1749
Nov,-11.36666667,-11.1,-68.53333333,-62.8,-50.1,18.9,836,Kensington and Chelsea,1260
Dec,-28.51612903,-10.80645161,-66.87096774,-64.32258065,-51.48387097,18.5483871,2672,Kensington and Chelsea,1474
Mar,3.535714286,-4.870967742,-35.48387097,-36.29032258,-29.09677419,12.6,150,Kingston upon Thames,912
Apr,19.61111111,-36.53333333,-81.76666667,-76.33333333,-73.86666667,32.19230769,413,Kingston upon Thames,684
May,60.63636364,-25.87096774,-76.25806452,-67.51612903,-64.70967742,25.96551724,141,Kingston upon Thames,816
